W_boson	53.5456 -44.9579 -28.6703 4.42509	25.1817 -24.9634 -2.56615 0.136451
b_quark	83.0305 -81.874 13.0326 1.84552	84.6617 -15.1359 15.5632 81.724
W_boson	73.2706 66.4656 30.0386 -6.65239	47.6481 27.5518 38.7565 -2.19729
b_quark	73.571 -66.4953 31.2024 -0.053907	33.5648 -29.088 10.1876 -12.6184
W_boson	52.0335 4.02318 35.3514 37.9108	48.2652 46.3188 3.78439 12.8617
b_quark	61.9754 -0.628774 -43.5608 43.881	112.753 -98.5204 -40.4558 36.7792
b_quark	62.9939 10.6479 -61.8911 2.62142	53.5967 38.6879 -36.8406 1.07426
b_quark	23.0713 2.46782 -21.1374 7.86969	40.4756 6.33673 -35.6974 17.5026
b_quark	34.6519 4.34537 -34.0939 -1.41614	45.9112 37.5186 -9.84831 -24.2019
W_boson	35.9215 -6.08499 -23.5362 26.3634	70.384 -31.8812 -55.7043 28.8127
b_quark	58.363 -46.25 -10.2129 -33.8438	72.2418 -42.6943 -57.7323 -6.75177
b_quark	69.207 -2.56483 1.32394 -69.0203	5.38294 -1.87431 2.67376 -0.917374
b_quark	17.0598 0.11061 0.45663 -16.5331	70.5789 66.6258 15.0986 -17.2319
b_quark	90.4715 71.9573 -53.4489 -11.5314	98.0928 25.4193 -46.2196 -82.5975
W_boson	29.4408 -0.389667 29.3501 0.913435	19.6839 -1.67999 18.4416 6.33992
W_boson	89.2049 -72.0278 -52.2513 5.91203	20.1078 -3.47079 -10.0935 16.9131
Tau	101.511 -31.746 81.5357 51.4332	46.9671 -43.0674 9.26997 16.1871
b_quark	29.5181 -21.7779 -10.0709 16.6776	68.543 -26.4192 -5.06188 62.9053
W_boson	32.0069 28.5102 -1.69459 14.2965	31.281 23.6132 -7.93517 18.8042
b_quark	75.1826 -39.9302 7.85613 -63.0778	18.7753 -18.1573 1.53883 -1.7273
b_quark	33.666 -1.09428 28.8407 16.8208	52.8322 -12.5241 8.64216 50.4205
Tau	102.997 72.8114 -62.8842 36.7332	34.9011 21.8578 -21.0452 17.1542
b_quark	34.9505 -1.81725 11.9308 32.5334	66.2637 -48.1517 41.8921 17.3169
b_quark	27.4683 13.4965 -21.6694 -9.23661	87.999 22.8366 -71.0571 -46.4299
W_boson	53.6042 4.87651 -17.0178 -50.5537	27.2946 25.6479 -8.68908 -2.70798
b_quark	47.8306 -41.4948 -1.2211 23.3877	72.1502 -25.3196 -66.8274 9.011
b_quark	15.4407 4.82344 12.5688 -6.30107	124.496 85.008 11.6404 -90.11
W_boson	52.4921 43.3617 -29.3719 2.85044	59.9421 1.01261 -59.8892 0.984537
b_quark	91.4252 -14.8978 89.6837 -8.71668	76.7323 -72.031 5.75237 -25.4721
Tau	15.3537 6.02584 -10.5213 9.25049	105.169 42.629 -55.2028 78.6946
W_boson	49.7407 -18.0627 -24.6174 -39.2112	65.9658 -30.9458 -50.6128 -28.7722
